"","P1","P2","P3","P4","P5","Team","Mins","oMins","dMins","oPOSS","dPOSS","ORTG","DRTG","NETRTG","PTS","dPTS","FGA","dFGA","FGM","dFGM","TPA","dTPA","TPM","dTPM","FTA","dFTA","FTM","dFTM","RIMA","dRIMA","RIMM","dRIMM","ORB","dORB","DRB","dDRB","BLK","dBLK","TO","dTO","AST","dAST","ePOSS","FG.","dFG.","TPP","dTPP","FTP","dFTP","eFG.","deFG.","TS.","dTS.","RIM.","dRIM.","MID.","dMID.","TPrate","dTPrate","RIMrate","dRIMrate","MIDrate","dMIDrate","FTrate","dFTrate","ASTrate","dASTrate","TOrate","dTOrate","BLKrate","oBLKrate","ORB.","DRB.","TimePerPoss","dTimePerPoss"
"471","JALEN.CRUTCHER","JHERY.MATOS","JORDAN.DAVIS","OBI.TOPPIN","TREY.LANDERS","Dayton",2.483,1.317,1.167,3,3,166.667,33.333,133.333,5,1,3,0,2,0,2,0,1,0,0,2,0,1,1,0,1,0,0,0,1,1,0,0,0,2,2,0,3,0.667,0,0.5,0,0,0.5,0.833,0,0.833,0.526,1,0,0,0,0.667,0,0.333,0,0,0,0,0,1,0,0,0.667,0,0,0,1,26.333,23.333
"472","JALEN.CRUTCHER","JHERY.MATOS","JOSH.CUNNINGHAM","OBI.TOPPIN","TREY.LANDERS","Dayton",4.733,1.7,3.033,6,7,200,171.429,28.571,12,12,8,7,5,4,1,4,1,2,1,2,1,2,5,3,3,2,2,3,0,1,0,0,0,2,2,1,6.5,0.625,0.571,1,0.5,1,1,0.688,0.714,0.708,0.755,0.6,0.667,0.5,0,0.125,0.571,0.625,0.429,0.25,0,0.125,0.286,0.4,0.25,0,0.286,0,0,0.667,0,17,26
"473","JALEN.CRUTCHER","JORDAN.DAVIS","JOSH.CUNNINGHAM","OBI.TOPPIN","TREY.LANDERS","Dayton",9.717,3.85,5.867,15,16,86.667,131.25,-44.583,13,21,9,14,5,7,3,7,2,4,2,6,1,3,4,7,2,3,1,5,4,4,2,0,6,3,2,3,15,0.556,0.5,0.667,0.571,0.5,0.5,0.667,0.643,0.653,0.623,0.5,0.429,0.5,0,0.333,0.5,0.444,0.5,0.222,0,0.222,0.429,0.4,0.429,0.4,0.188,0.143,0,0.2,0.444,15.4,22
"474","JALEN.CRUTCHER","JORDAN.DAVIS","JOSH.CUNNINGHAM","RYAN.MIKESELL","TREY.LANDERS","Dayton",12.9,6.083,6.817,17,18,82.353,100,-17.647,14,18,14,18,7,6,4,7,0,1,1,6,0,5,8,9,6,3,4,4,9,4,0,0,6,1,2,3,17,0.5,0.333,0,0.143,0,0.833,0.5,0.361,0.484,0.432,0.75,0.333,0.5,1,0.286,0.389,0.571,0.5,0.143,0.111,0.071,0.333,0.286,0.5,0.353,0.056,0,0,0.5,0.692,21.471,22.722
"475","JALEN.CRUTCHER","JORDAN.DAVIS","OBI.TOPPIN","RYAN.MIKESELL","TREY.LANDERS","Dayton",1.983,1.233,0.75,3,2,133.333,200,-66.667,4,4,3,2,2,1,1,0,0,0,0,2,0,2,2,2,2,1,0,1,0,1,0,0,0,0,2,0,2.5,0.667,0.5,0,0,0,1,0.667,0.5,0.667,0.678,1,0.5,0,0,0.333,0,0.667,1,0,0,0,1,1,0,0,0,0,0,0,0,24.667,22.5
"476","JAMES.BANKS","JOSE.ALVARADO","KHALID.MOORE","MICHAEL.DEVOE","MOSES.WRIGHT","Georgia Tech",0.267,0.267,0,1,0,200,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"477","JAMES.BANKS","JOSE.ALVARADO","KRISTIAN.SJOLUND","MICHAEL.DEVOE","MOSES.WRIGHT","Georgia Tech",9.617,4.633,4.983,14,14,92.857,135.714,-42.857,13,19,11,15,5,7,4,6,1,3,4,2,2,2,7,5,4,3,2,3,5,5,1,1,3,1,2,4,14,0.455,0.467,0.25,0.5,0.5,1,0.5,0.567,0.504,0.596,0.571,0.6,0,0.25,0.364,0.4,0.636,0.333,0,0.267,0.364,0.133,0.4,0.571,0.214,0.071,0.067,0.091,0.286,0.625,19.857,21.357
"478","JAMES.BANKS","JOSE.ALVARADO","MICHAEL.DEVOE","MOSES.WRIGHT","SHEMBARI.PHILLIPS","Georgia Tech",4.583,1.883,2.7,7,8,128.571,100,28.571,9,8,7,5,3,3,6,1,3,0,0,4,0,2,1,4,0,3,0,0,3,4,0,0,0,1,2,1,7.5,0.429,0.6,0.5,0,0,0.5,0.643,0.6,0.643,0.58,0,0.75,0,0,0.857,0.2,0.143,0.8,0,0,0,0.8,0.667,0.333,0,0.125,0,0,0,1,16.143,20.25
"479","JAMES.BANKS","KRISTIAN.SJOLUND","MICHAEL.DEVOE","MOSES.WRIGHT","SHEMBARI.PHILLIPS","Georgia Tech",2.05,1.2,0.85,3,3,0,100,-100,0,3,2,3,0,1,0,2,0,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,1,0,0,1,3,0,0.333,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0.667,1,0.333,0,0,0,0,0,1,0.333,0,0,0,0,1,24,17
"480","JARED.HAMILTON","JORDAN.CHATMAN","KY.BOWMAN","NIK.POPOVIC","WYNSTON.TABBS","Boston College",2.417,1.533,0.883,5,3,60,133.333,-73.333,3,4,5,3,1,1,2,1,0,0,2,4,1,2,2,1,0,1,2,2,0,3,0,1,0,0,0,0,3.5,0.2,0.333,0,0,0.5,0.5,0.2,0.333,0.252,0.408,0,1,1,0,0.4,0.333,0.4,0.333,0.2,0.333,0.4,1.333,0,0,0,0,0,0.2,0.4,0,18.4,17.667
